user_id,treatment,channel,audience_type,country,age_group,device_type,email_subscriber,n_prior_purchases,n_organic_sessions_30d,days_since_last_visit,loyalty_tier,category_affinity,frequency,spend_eur,converted
T08_00561,1,meta,retargeting_hot,FR,18-24,mobile,1,15,8,13,silver,fragrance,18,0.18,0
T01_00562,1,tiktok,prospecting_broad_2534,FR,25-34,mobile,1,2,4,7,none,makeup,4,0.03,0
T07_00488,1,meta,retargeting_warm,FR,25-34,mobile,0,5,7,14,none,fragrance,5,0.05,0
T00_01114,1,tiktok,prospecting_broad_1824,DE,35-44,mobile,0,0,1,17,gold,haircare,2,0.02,0
C_00902,0,,,FR,45+,mobile,0,7,2,45,none,makeup,0,0.0,0
T09_00382,1,youtube,retargeting,FR,25-34,mobile,0,3,4,13,none,fragrance,6,0.06,0
T08_00983,1,meta,retargeting_hot,GB,25-34,mobile,0,14,5,5,none,skincare,12,0.13,1
T02_00514,1,meta,prospecting_lal_1pct,GB,35-44,desktop,1,1,0,16,none,skincare,2,0.02,0
C_06771,0,,,GB,35-44,desktop,0,9,10,8,silver,haircare,0,0.0,0
T06_00952,1,tiktok,retargeting,FR,25-34,mobile,1,6,4,24,none,makeup,2,0.02,0
T02_01037,1,meta,prospecting_lal_1pct,FR,25-34,mobile,0,0,0,31,gold,skincare,5,0.05,0
T06_00716,1,tiktok,retargeting,FR,25-34,desktop,1,6,8,1,none,makeup,4,0.04,0
C_03441,0,,,DE,45+,mobile,0,8,0,14,none,makeup,0,0.0,0
C_03296,0,,,GB,18-24,mobile,1,1,1,28,silver,skincare,0,0.0,0
T09_00985,1,youtube,retargeting,GB,45+,desktop,0,10,8,11,none,skincare,9,0.1,0
T03_00948,1,meta,prospecting_lal_3_5pct,GB,45+,desktop,0,1,3,7,none,haircare,7,0.07,0
C_06393,0,,,FR,45+,desktop,0,5,6,13,none,haircare,0,0.0,0
C_03796,0,,,FR,18-24,mobile,0,1,3,2,none,skincare,0,0.0,0
T06_00931,1,tiktok,retargeting,DE,25-34,mobile,1,3,14,14,none,skincare,11,0.1,0
T00_00322,1,tiktok,prospecting_broad_1824,FR,25-34,desktop,0,2,2,61,silver,fragrance,2,0.02,0
T07_01743,1,meta,retargeting_warm,GB,25-34,desktop,1,4,6,1,gold,fragrance,14,0.14,0
T06_00296,1,tiktok,retargeting,FR,45+,mobile,1,4,6,3,none,skincare,7,0.06,0
C_06024,0,,,GB,25-34,mobile,0,0,5,46,silver,haircare,0,0.0,0
C_04553,0,,,DE,35-44,mobile,0,1,4,9,none,fragrance,0,0.0,0
T07_00939,1,meta,retargeting_warm,FR,35-44,mobile,1,14,3,2,silver,makeup,10,0.09,0
C_03421,0,,,DE,45+,mobile,0,0,2,43,silver,haircare,0,0.0,0
C_03060,0,,,GB,25-34,desktop,0,6,0,88,silver,haircare,0,0.0,0
T08_00031,1,meta,retargeting_hot,GB,35-44,mobile,1,6,7,26,silver,haircare,10,0.11,1
C_06055,0,,,FR,35-44,desktop,0,2,4,3,gold,haircare,0,0.0,0
T02_01161,1,meta,prospecting_lal_1pct,GB,18-24,desktop,0,0,1,26,none,makeup,1,0.01,0
T02_01453,1,meta,prospecting_lal_1pct,FR,35-44,desktop,1,1,1,7,none,fragrance,4,0.03,0
C_04880,0,,,FR,18-24,mobile,0,1,6,66,gold,makeup,0,0.0,0
C_03675,0,,,DE,25-34,mobile,1,1,2,8,silver,skincare,0,0.0,0
T09_01049,1,youtube,retargeting,DE,25-34,mobile,0,9,4,32,none,skincare,8,0.09,0
T08_01354,1,meta,retargeting_hot,DE,25-34,tablet,1,9,9,8,none,skincare,8,0.1,0
T09_00576,1,youtube,retargeting,GB,18-24,mobile,0,9,6,13,none,skincare,9,0.08,0
C_00835,0,,,GB,35-44,tablet,0,1,0,13,silver,skincare,0,0.0,0
T02_00946,1,meta,prospecting_lal_1pct,FR,25-34,desktop,0,1,6,6,platinum,makeup,2,0.02,0
C_05739,0,,,FR,35-44,desktop,0,1,4,5,gold,skincare,0,0.0,0
C_04407,0,,,DE,45+,mobile,0,3,4,9,none,haircare,0,0.0,0
C_02440,0,,,DE,45+,mobile,0,0,1,32,none,fragrance,0,0.0,0
T08_00317,1,meta,retargeting_hot,DE,25-34,mobile,1,6,6,9,none,haircare,13,0.15,0
T05_00221,1,youtube,prospecting_brand_safety,FR,45+,desktop,1,0,2,54,none,haircare,4,0.05,0
T00_00971,1,tiktok,prospecting_broad_1824,FR,45+,desktop,0,1,2,5,none,skincare,3,0.02,0
C_03487,0,,,GB,35-44,mobile,0,3,0,19,silver,fragrance,0,0.0,0
C_06730,0,,,GB,25-34,mobile,1,8,5,15,none,makeup,0,0.0,0
C_00137,0,,,GB,35-44,desktop,0,0,0,21,gold,skincare,0,0.0,0
T02_01181,1,meta,prospecting_lal_1pct,GB,35-44,desktop,0,1,4,1,none,makeup,6,0.05,1
